SongID,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,YouTube URL
4190,0R3TWpoxAhT3HDXM7tpRzS,Crumb,Jinx,Ghostride,67,126120,False,0.665,0.351,2,-9.424,1,0.0276,0.516,0.819,0.109,0.451,87.057,4,garage,https://www.youtube.com/watch?v=HS4aJ_51qNQ&pp=ygUkQ3J1bWIgR2hvc3RyaWRlIG9mZmljaWFsIG11c2ljIHZpZGVv
4191,4hAmLeBT1Ryk2oxSMMiJ7z,Karan Aujla,Way Ahead,Oouuu,67,147200,False,0.779,0.693,8,-6.033,0,0.0885,0.0832,0.0,0.0874,0.469,150.019,4,hip-hop,https://www.youtube.com/watch?v=sSHqlGy9dMA&pp=ygUmS2FyYW4gQXVqbGEgT291dXUgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4192,2Ozc0me9PV5vlt8cokwdvI,Terror Squad;Fat Joe;Remy Ma,True Story,Lean Back,67,247426,True,0.783,0.916,1,-3.344,1,0.415,0.11,0.0,0.0746,0.695,95.321,4,hardcore,https://www.youtube.com/watch?v=ajmI1P3r1w4&pp=ygU7VGVycm9yIFNxdWFkO0ZhdCBKb2U7UmVteSBNYSBMZWFuIEJhY2sgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4193,5rWIO1uP0GwAoU45RTBJ2F,Zac Efron;Vanessa Hudgens;Disney,High School Musical 2 (Original Soundtrack),Gotta Go My Own Way,67,222360,False,0.555,0.692,9,-4.767,1,0.0277,0.0864,3.25e-05,0.232,0.313,88.995,4,show-tunes,https://www.youtube.com/watch?v=pAzFRfzwT-g&pp=ygVJWmFjIEVmcm9uO1ZhbmVzc2EgSHVkZ2VucztEaXNuZXkgR290dGEgR28gTXkgT3duIFdheSBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4194,3f0wz6zcA7XkQiGm0qNF5r,Arijit Singh;Tanishk Bagchi,"Thodi Jagah (From ""Marjaavaan"")","Thodi Jagah (From ""Marjaavaan"")",67,218048,False,0.621,0.467,0,-4.835,0,0.0273,0.632,0.0,0.0888,0.227,107.164,4,pop-film,https://www.youtube.com/watch?v=qCgjpLEzBkg&pp=ygVQQXJpaml0IFNpbmdoO1RhbmlzaGsgQmFnY2hpIFRob2RpIEphZ2FoIChGcm9tICJNYXJqYWF2YWFuIikgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
4195,4AoQVhME8Ko6LNm4lV2wwQ,Himesh Reshammiya;Vineet Singh;Aaman Trikha,Khiladi 786,Hookah Bar,67,254351,False,0.73,0.656,11,-5.07,1,0.0294,0.00797,0.00271,0.108,0.743,131.04,4,pop-film,https://www.youtube.com/watch?v=b4b1cMVZOUU&pp=ygVLSGltZXNoIFJlc2hhbW1peWE7VmluZWV0IFNpbmdoO0FhbWFuIFRyaWtoYSBIb29rYWggQmFyIG9mZmljaWFsIG11c2ljIHZpZGVv
4196,17lu4tymfnhmcIDlzBbtAb,AC/DC,For Those About to Rock (We Salute You),For Those About to Rock (We Salute You),67,344240,False,0.37,0.919,4,-5.721,1,0.102,0.000376,0.419,0.49,0.471,134.021,4,hard-rock,https://www.youtube.com/watch?v=8fPf6L0XNvM&pp=ygVCQUMvREMgRm9yIFRob3NlIEFib3V0IHRvIFJvY2sgKFdlIFNhbHV0ZSBZb3UpIG9mZmljaWFsIG11c2ljIHZpZGVv
4197,5W7YROOF6bFfBexY81LFjt,Styx,Cornerstone,Babe,67,265973,False,0.267,0.204,2,-13.714,1,0.0317,0.527,0.0,0.0924,0.0903,169.486,4,hard-rock,https://www.youtube.com/watch?v=yaVyQS1T7TY&pp=ygUeU3R5eCBCYWJlIG9mZmljaWFsIG11c2ljIHZpZGVv
4198,2zMJN9JvDlvGP4jB03l1Bz,Donna Summer,Bad Girls,Hot Stuff,67,314760,False,0.823,0.743,0,-13.98,1,0.0316,0.00559,0.0306,0.0707,0.966,120.471,4,disco,https://www.youtube.com/watch?v=KhcaPNuaJNU&pp=ygUrRG9ubmEgU3VtbWVyIEhvdCBTdHVmZiBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
4199,2gdCsrNrQlMj2EFnsMFUHA,Weißes Rauschen HD,"Weißes Geräusch Für Tiefen Schlaf, Tinnitus Und Meditation",Weißes Rauschen: Baby Schlafhilfe,67,88229,False,0.0788,9.94e-05,10,-26.43,1,0.193,0.117,0.194,0.327,0.0,168.156,1,sleep,https://www.youtube.com/watch?v=09JaG2h20Mc&pp=ygVLV2Vpw59lcyBSYXVzY2hlbiBIRCBXZWnDn2VzIFJhdXNjaGVuOiBCYWJ5IFNjaGxhZmhpbGZlIG9mZmljaWFsIG11c2ljIHZpZGVv
4200,2ACs0dJwkSsvNZvEbvFurK,The Brobecks,Violent Things,Better Than Me,67,267466,False,0.378,0.665,7,-7.386,1,0.0428,0.00461,0.000118,0.0575,0.431,169.981,4,piano,https://www.youtube.com/watch?v=fF2zxT1GXh4&pp=ygUwVGhlIEJyb2JlY2tzIEJldHRlciBUaGFuIE1lIG9mZmljaWFsIG11c2ljIHZpZGVv
4201,2u3TXM5CwRovxFJZID2OuF,Sleepy Clouds,Elevated,Blanket of White,67,186088,False,0.133,0.00225,9,-32.465,1,0.0387,0.989,0.929,0.108,0.144,73.028,3,sleep,https://www.youtube.com/watch?v=gJF6n_-JLuk&pp=ygUzU2xlZXB5IENsb3VkcyBCbGFua2V0IG9mIFdoaXRlIG9mZmljaWFsIG11c2ljIHZpZGVv
4202,6KzkqZqhUBEsWYJJa2aBOd,Michael Gray,Analog Is On,The Weekend - Radio Edit,67,192173,False,0.686,0.832,4,-5.673,0,0.0725,0.000321,0.127,0.583,0.884,127.023,4,disco,https://www.youtube.com/watch?v=N3kkNfH4yco&pp=ygU6TWljaGFlbCBHcmF5IFRoZSBXZWVrZW5kIC0gUmFkaW8gRWRpdCBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
